UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,year
UEI-IMD-FL-2015-0054,2015-08-06,2015-06-16,Diffing the dates,Heavy rains,,"Alappuzha, Kannur, Kollam, Thrissur, Thiruvananthapuram",KERALA,,,,,1.0,1.0,,,One person injured in Kollam Dist. One person died due to wall collapsed in Thrissur Dist.,Alappuzha : i) Damage to two acres of Banana crops reported. ii) Damage to 10 houses reported. iii) 26 families of 90 persons shifted to relief camps. iv) Water supply disrupted in beach areas. Kannur : District office of Kerala Aided School EmployeesÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ Provident fund caved in. Kollam :  Damage to a house reported as coconut tree uprooted fell over it. Thrissur :i) Damage to 5 houses reported. ii) Low-lying areas inundated. iii) Severe waterlogging in the low-lying areas.Thiruvananthapuram : i) Damage to 15 houses reported. ii) Damage to Fiber boat factory reported. iii) Around One lakh rupees worth damage reported.  iv) Several trees uprooted.,IMD,,2015
UEI-IMD-FL-2015-0055,2015-06-19,2015-06-29,10,Heavy rains,,"Alappuzha, Ernakulam, Idukki, Kasaragod, Kottayam, Kozhokode, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram, Wayanad ",KERALA,,,,,,,,,,,IMD,,2015
UEI-IMD-FL-2015-0056,2015-07-18,2015-07-20,2,Heavy Rain,,Kannur,KERALA,,,,,,,,,Heavy Rain ,i) Damage to 465 hectares of land & Rs. 3.76 crore of crops reported. ii) Damage to 8 houses fully & 416 houses partially reported. Property loss of Rs.97.92 lakh reported.,IMD,,2015
UEI-IMD-FL-2015-0057,2015-12-08,2015-12-08,0,Heavy Rain,,Kannur,KERALA,,,,,,,,,,i) Complete damage to one house reported. ii) 2 lakhs rupees worth damage reported.   ,IMD,,2015
UEI-IMD-FL-2015-0058,2015-05-09,2015-06-09,31,Heavy Rain,,"Pathanamthitta, Thiruvananthapuram ",KERALA,,,,,,,,3000.0,Around 3000 hens perished in Thiruvananthapuram,"Pathanamthitta : Loss of worth Rs.3 lakhs reported as compound wall of a house collapsed. Thiruvananthapuram : i) Damage to Agricultural crops including Rubber plantation, Banana, Tapioca worth crores reported. ii) Damage to several shops, workshops, Govt. Dept., houses, bridges Oil-mill completely submerged causing damage worth Rs.8 lakhs. iii) Medicines of worth Rs.3 lakhs damaged, as Anand Veterinary hospital inundated. iv) Low lying areas inundated. v) 200 houses marooned.",IMD,,2015
UEI-IMD-FL-2015-0059,2015-09-27,2015-09-28,1,Heavy Rain,,"Kannur, Wayanad",KERALA,,,,,,,,,,i) Damage to 3.5 acres of Paddy crops reported. ii) Loss worth lakhs of rupees reported as 2 acres of land damaged. iii) Many roads washed away,IMD,,2015
UEI-IMD-FL-2015-0060,2015-08-10,2015-09-10,31,Heavy Rain,,Thiruvananthapuram,KERALA,,,,,,1.0,,,One person injured,"i) Damage to Agricultural crops including Rubber, Coconut trees reported. ii) Damage to more than 150 houses reported.",IMD,,2015
UEI-IMD-FL-2015-0061,2015-10-30,2015-10-31,1,Heavy Rain,,Thiruvananthapuram,KERALA,,,,,,,,100.0,More than 100 hens perished.,i) Extensive damage to Agricultural crops reported. ii) About 150 houses inundated. iii) Low lying areas flooded. iv) Several trees / electric poles uprooted causing disruption in vehicular traffic & power supply,IMD,,2015
UEI-IMD-FL-2015-0062,2015-01-11,2015-11-21,314,Heavy Rain,,"Ernakulam, Malappuram, Pathanamthitta, Thiruvananthapuram",KERALA,,,,,2.0,,,,2 persons died,"i) Damage to Agricultural crops including Banana, Tapioca, Betelleaves, vegetables reported. ii) Several houses inundated & complete damage to 11 houses reported. iii) Many people shifted to safer places. iv) Damage to about 70 vehicles reported. v) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply",IMD,,2015
UEI-IMD-FL-2015-0063,2015-08-12,2015-12-19,129,Heavy Rain,,"Alappuzha, Thiruvananthapuram",KERALA,,,,,,,,,,"i) Damage to more than 2000 acres of Paddy cultivation and agricultural crops including Rubber, Banana, Tapioca, Yam, vegetables reported. ii) Low lying areas flooded. iii) Tones of the seeds washed away. iv) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply",IMD,,2015
UEI-IMD-FL-2015-0064,2015-07-19,2015-07-21,2,Heavy rains & Floods in Kshipra river,,"Betul, Burhanpur, Harda, Indore, Khandwa Sehore, Ujjain, Vidisha",MADHYA PRADESH,,,,,15.0,5.0,,,15 persons died including 5 people swept away in flood water.,"i) About 6300 people affected. ii) Railway, Bus, electricity & telephone services disrupted",IMD,,2015
UEI-IMD-FL-2015-0065,2015-08-13,2015-08-13,0,Flood,,Betul,MADHYA PRADESH,,,,,1.0,,,,One woman swept away,,IMD,,2015
UEI-IMD-FL-2015-0066,2015-07-06,2015-06-16,Diffing the dates,Heavy rains,,"Aurangabad, Beed, Hingoli., Jalna, Latur, Nanded, Osmanabad, Parbhani",MAHARASHTRA,,,,,17.0,,,,17 persons died,i) Roofs of houses blown away. ii) Several trees / electric poles uprooted causing disruption in vehicular traffic & power supply,IMD,,2015
